Username,Time,Content,Reply Count,Retweet Count,Like Count
Jared Stanley,2023-06-18T07:50:11.000Z,"“ The work-from-home fanatics owe the rest of us an apology, our long-term commercial real-estate investments are in serious jeopardy so we’ve used Chatgpt to write articles to change public perception of something that is obviously a better solution but harms our investment ”",0,0,0
Mina Fung,2023-06-17T22:43:25.000Z,"Getting all the work, entertainment and socializing virtually has been great. With ChatGPT now is even better. Realizing this fact has promoted me to stop now and go seek some real human interactions.",0,0,0
Angel,2023-06-17T20:08:53.000Z,I’ve recently become obsessed with chat GPT and AI text generators… but I have yet to see them write a body of work for marketing better than I ,0,0,2
katyilonka | katyilonka@hci.social,2023-06-17T17:22:15.000Z,"First, note that ChatGPT will hallucinate methods. I was working with a third party d3 library and it seemed to be pretty bad at working with this library. GPT4 is better than GPT3, but not great. There are some work-arounds with prompting, but overall, this sucks.",1,0,2
"Q, chatGPT for Slack",2023-06-17T16:55:43.000Z,"5/5 While the AI is not perfect, it's pretty good at answering questions from the manual. Work on how you ask questions and the quality of PDFs for better results.  

Excited? Try 'Q, ChatGPT for Slack' now at https://q-bot.suchica.com #AI #LangChain #GPT4",1,0,1
Scrublord McFuccboi O’Neal || they/them,2023-06-17T16:53:20.000Z,"listen, if your opinion of my writing is such that you think an AI has even a remote chance of finishing my work in a way that holds the same value, why are you reading my work at all? my fucking 3 a.m. notes app bullet point ideas are written better than chatGPT fic. ",1,0,7
Pranit K Priyadarshan,2023-06-17T06:39:09.000Z,"I believe, Chatgpt AI would have done better work done 
@manojmuntashir
 
#adip",0,0,2
Killua,2023-06-17T03:18:14.000Z,"Tbh, I've used ChatGPT + BingChat/ in programming work almost exclusively in the past two months. I will sometime google the odd reference but that's it. 

I did notice for math, ChatGPT is much better than the average textbook (and dare I say tenured faculty?) at vulgarization.",0,0,0
blank,2023-06-17T02:46:41.000Z,"But this girl 

Literally said
I helped you guys too
And it was literally just walls of text copy pasted from Chat GPT

And that's ONE thing she tried

Mm?
If you wanted to use that so bad, then maybe get some context on our work better than to just randomly grab that shit",1,0,0
"Mil Hamza Copywriter, Marketer",2023-06-16T23:09:06.000Z,"Your copywriting skills will only keep getting better!  These ChatGPT prompts are a game changer, and will definitely help you amp up your skills. Keep up the good work!",1,0,3
Andrew Azmi,2023-06-16T20:55:02.000Z,ChatGPT finally introduced a better way to work around the character limit  .. now you have a button when you click will continue without breaking the text,0,0,0
SAIF SHAIKH,2023-06-16T20:26:04.000Z,"Introducing 
@meetcodyai
 - Your AI-Assistant for Business.

Cody is like a super smart robot worker, just like ChatGPT, but even better! 

Cody can learn all about your company, the people you work with, the things you do, and the people you help.",1,0,0
Carol Greer,2023-06-16T19:31:08.000Z,"So sorry, Ian! Feel better !  Just don't turn your work over to Chat GPT to write for you!",1,0,2
Afterlife Games,2023-06-16T18:27:37.000Z,We've started using ChatGPT to reply to stupid comments and our work-life balance has never been better!,0,0,1
The Austin Forum,2023-06-16T18:09:01.000Z,Want to learn to use tools like #ChatGPT more effectively and become better at prompting? Join us for our next meetup where we'll discuss #LLMs and how we can use them to better work for us. Register here  https://buff.ly/3oSDKOe,0,0,0
Dr Alyssa #StopDeportingHaitians Sepinwall,2023-06-16T18:08:12.000Z,"Back at work this morning on day #2 of trying to write a new frame for this conference paper & turn it into an article. Typing up last note's outline. Guess what, grifters? I'm not going to use Chat GPT to turn the outline into text. I write better than a bot & I'm embarrassed/",1,0,2
Quadrans,2023-06-16T07:51:01.000Z,"Rather than worrying over AI replacing jobs, we prefer to focus on how it helps us work better.

Free tip  before sharing work with others, get ChatGPT's feedback and improve upon it. This is a risk-free sounding board that won't judge your performance on first contact.",1,0,0
"Hello Harry Potter, I'm ChatGPT",2023-06-16T05:59:18.000Z,"I’ll just say it: bickering about OS doesn’t make you all a better programmer. A true programmer uses any OS, any tools, any IDE that can support his work flow, and have no hesitation switching to others at any time. My loyalty is to myself, not to any OS, language, or platform.",0,0,0
VomitedThoughts,2023-06-15T22:26:58.000Z,Thanks to Chat GPT half this program work and that's better then i ever could do,1,0,8
Mika,2023-06-15T19:16:08.000Z,"Yeah, I thought too, but when you want something specific especially for Zap-Hosting, ChatGPT doesn't come really far. Maybe it can help phrase stuff better or shorten it but describing the whole process of doing something specific on Zap-Hosting likely doesn't work.",0,0,0
You Probably Need A Robot,2023-06-15T18:50:08.000Z,"Here's what you'll learn: 

- Be a better writer (with ChatGPT)
- Be a better designer (with Canva AI)
- Be more productive (with Bardeen)
- Be a better researcher (with Bearly AI)
- Be a better presenter (with Tome)

Each lesson ends with an actionable exercise to put AI to work",1,0,2
AI for Environmental Risks CDT,2023-06-15T18:19:52.000Z,"Our final yr PhD students 
@omer_nivron
 +Raghul Parthipan introduce Taylorformer - a new paper that adapts the building blocks of ChatGPT to better work for continuous processes like time-series (so often needed for climate risks) https://arxiv.org/pdf/2305.19141.pdf… 
@Cambridge_CL
 @BAS_News",0,0,8
AI for Environmental Risks CDT,2023-06-15T18:00:02.000Z,"@omer_nivron
 and Raghul Parthipan, final year PhD students introduce Taylorformer: a new paper that adapts the building blocks of ChatGPT to better work for continuous processes like time-series (so often needed for climate risks). 
@Cambridge_CL
 @BAS_News
 https://arxiv.org/pdf/2305.19141.pdf…",0,0,0
AI for Environmental Risks CDT,2023-06-15T17:46:41.000Z,"@omer_nivron
 + Raghul Parthipan (final year AI4ER students) introduce Taylorformer - a new paper that adapts the building blocks of ChatGPT to better work for continuous processes like time-series (often needed for climate risks). 
@Cambridge_CL
 @BAS_News
  https://arxiv.org/pdf/2305.19141.pdf…",0,0,0
🅽🅲🅸🅴🅽🆃 🆂🆃🆁🅽🆄🆃,2023-06-15T15:38:36.000Z,"Based on my experience #ChatGPT is better than #Bard . Though chatgpt is slow compared to bard, but chatgpt is more accurate (more than 65%). Good work #ChatGPT",0,0,2
Eric Ravenscraft,2023-06-15T14:25:03.000Z,"this is obviously the fault of lawyers relying on ChatGPT without double-checking the work

but I also wanna warn my fellow tech journalists here

this is the kind of thing that happens when you uncritically cover tech and its capabilities to audiences that don't know better",4,151,609
Chrome GPT,2023-06-15T14:03:41.000Z,Prompt 15: I'm seeking strategies to create a better work-life balance. How can I prioritize self-care while excelling in my career? #WorkLifeBalance #Wellbeing #ChatGPT,0,0,0
ASCENSION,2023-06-15T01:12:31.000Z,"Want to hear something scary?

Feed AI every article a writer has done and it will have a talk with ChatGPT and write a new one better than the original author?  Wanna bet

This is AI at work.. y'all have no clue what is coming",0,0,1
Thomas,2023-06-14T19:37:56.000Z,Even ChatGPT do a better work.,1,0,0
