Username,Time,Content,Reply Count,Retweet Count,Like Count
"Brent A. Anders, Ph.D.",2023-06-17T16:06:04.000Z,I have created a new infographic to help all regarding Academic Dishonesty with AI - Prevention & Addressing Violations. A video explaining everything is also available at:  https://youtube.com/watch?v=6tbctS-qObQ… #AI #ChatGPT #academicintegrity,0,1,4
Kelly Soldavin,2023-06-12T22:43:54.000Z,"This new study ""uses #ChatGPT to demonstrate...the steps that can be taken to ensure its influence remains a positive one"", while identifying ""ways to ensure that academic dishonesty is clearly explained to students and minimised.""",3,0,0
Luke Ryberg,2023-06-05T07:33:44.000Z,"I have a solution to academic dishonesty using AI: teachers, only accept homework assignments from students that twitch streamed the entire process of learning the subject and completing the assignments. Problem solved.#ai #ChatGPT 
@OpenAI",1,0,0
Ryan Carl Mercer,2023-06-01T13:41:30.000Z,"I'm curious to see how it turns current academic policy on its head. From my wife's high school to the college I'm enrolled in tools like ChatGPT and Bard are already being forbidden to prevent academic dishonesty, but calculators were verboten too at one point...",0,0,1
B;ll,2023-05-31T03:50:36.000Z,ChatGPT really opened a lot of wonders for me.  Tho pls don’t use it to commit academic dishonesty. ,0,2,29
Cody J. Phillips,2023-05-14T20:47:32.000Z,"The problem is, what counts as ""written directly by you""? Does assistance from Grammarly count? What about translation tools? Paraphrasing tools? If a student with dyslexia writes a paragraph and asks ChatGPT to fix it, does that count as academic dishonesty?",1,0,0
Haeschen Schnief,2023-05-13T17:38:28.000Z,"I have had a couple of instances where I absolutely knew ChatGPT had been used (in one case-the entire semester), but because the papers did not follow the pre-outlined rubrics, I did not have to worry about wading into the academic dishonesty back-and-forth.",1,0,1
Jason Mittell,2023-05-13T15:29:19.000Z,"You read this? I think it's insightful for how smart students are using it. I had a dumber case of academic dishonesty with ChatGPT that was direct copying, on weekly reading/screening responses - the student did reading/viewing, but took writing shortcut.",2,0,2
Gage Mitchusson,2023-05-12T19:24:48.000Z,The use of ChatGPT and other AI to complete assignments should be considered plagiarism/academic dishonesty and result in an automatic report to the Office of Student Affairs.,1,0,9
Joe Hamm,2023-05-10T22:09:09.000Z,"2- Around that time, a student at my uni--who was struggling with what I would think we would all consider a tough semester and so had asked ChatGPT to conduct a lit review they had been assigned--was dismissed from their program for academic dishonesty.",1,0,3
Pahayagang KAPP,2023-05-09T16:01:07.000Z,"ANSWERS:

The parties are in agreement: while neither party condones academic dishonesty, they also want justice to be restorative. As UP ALYANSA pointed out, it is necessary to find the root cause of cheating using ChatGPT instead of adopting a haphazardly strict policy.",1,0,1
Pahayagang KAPP,2023-05-09T16:01:05.000Z,"In UP, there have already been cases of academic dishonesty through Al such as ChatGPT, and some faculty have already instituted rather punitive measures against its use.

With this, how should the university’s academic policies adapt to Al?",1,0,1
Eric Crumrine,2023-05-09T13:05:36.000Z,"I've been on academic dishonesty boards before (briefly served as a chief conduct officer at a school), and I feel like the language in the code could def apply to ChatGPT as ""passing off work as your own"" but then again.. I'm sure there are arguments on the other side.",1,0,1
PlagiarismCheck.org,2023-05-06T16:27:19.000Z,"http://PlagiarismCheck.org's AI Content Detector is your ultimate weapon against academic dishonesty: https://bit.ly/3LFStDB 

#ChatGPT #AI #teachertip",0,0,4
Jordan Love Era,2023-05-05T23:15:52.000Z,So our commencement speech can be made by ChatGPT but when I do it for my classes it’s “Academic Dishonesty”,0,0,11
